,age_ratings,aggregated_rating,aggregated_rating_count,alternative_names,artworks,bundles,category,collection,cover,created_at,dlcs,expansions,external_games,first_release_date,franchise,franchises,game_engines,game_modes,genres,hypes,id,involved_companies,keywords,multiplayer_modes,name,parent_game,platforms,player_perspectives,popularity,pulse_count,rating,rating_count,release_dates,screenshots,similar_games,slug,standalone_expansions,status,storyline,summary,tags,themes,time_to_beat,total_rating,total_rating_count,updated_at,url,version_parent,version_title,videos,websites
10,,,,,,,0,,75881.0,1561248000,,,,1563494400.0,,,,[2],[33],,120138,[90436],[938],,Astro Bears,,[130],,2.783112462132648,,,,[171986],"[314626, 314627, 317226, 317227]","[22799, 55179, 87668, 87728, 89025, 90965, 103301, 113895, 117939, 120268]",astro-bears,,,"Introducing a new update for the game that hundreds of thousands of players fell in love with! Experience even more chaotic gameplay with infinite or finite Ribbons, Planets ranging from small to huge, and 8 Bears with different stats to experiment with! 
 
Make allies (or enemies) in the new Competitive mode in which players battle 1-on-1 over five challenging rounds! Invite a friend to help you collect Jetfish in a 2-player Jetfish Hunting mode and beat the global highscore together! Destroy friendships in the classic Party mode, where “beary big” legends are born!","Get ready for the biggest cosmic comeback on Nintendo Switch™! Astro Bears is back and shinier than ever, with loads of improvements, new Bears, planets and play modes to pump up the party… again!","[1, 268435489, 536871850]",[1],,,,1579132800,https://www.igdb.com/games/astro-bears,,,[33109],"[110040, 130017]"
11,,,,"[23116, 23117]",,,0,,,1537574400,,,,,,,,"[1, 2]","[9, 33]",,110059,"[70358, 70359]",,,SEGA AGES COLUMNS II: THE VOYAGE THROUGH TIME,,[130],[4],1.0,6.0,,,[159077],,"[18115, 19222, 85804, 87170, 87507, 89817, 90788, 90965, 95776, 120268]",sega-ages-columns-ii-the-voyage-through-time,,,,The classic puzzle game Columns II returns in SEGA AGES for Nintendo Switch™.,"[268435465, 268435489]",,,,,1570752000,https://www.igdb.com/games/sega-ages-columns-ii-the-voyage-through-time,14985.0,SEGA AGES,,[90039]
12,"[27189, 27190]",67.5,2.0,"[30211, 30213, 30214, 30215, 30216, 30217, 30501, 30502, 30503]","[6659, 7647, 7648, 8232]",[115652],0,314.0,92737.0,1551225600,,[128073],,1573776000.0,60.0,[60],,"[1, 2]","[12, 31]",18.0,115653,"[75152, 75153]",[409],,Pokémon Shield,,[130],"[2, 3]",512.5350291616892,183.0,65.8759977154041,23.0,[170584],"[289921, 289922, 289923, 289924, 289925, 289926]","[37382, 55199, 81249, 96217, 99118, 101608, 106987, 116530, 119171, 120564]",pokemon-shield,,,,"Unsheathe your sword and take up your shield! 
 
The world of Pokémon expands to include the Galar region in Pokémon Sword and Pokémon Shield!","[17, 38, 268435468, 268435487, 536871321]","[17, 38]",,66.68799885770204,25.0,1582761600,https://www.igdb.com/games/pokemon-shield,,,"[25182, 27749, 29188, 30035]","[101452, 109896, 109897]"
13,[24990],,,,,,0,,75866.0,1561507200,,,,1562112000.0,,,,[1],"[9, 13]",,120179,[80777],"[1599, 23860]",,Bus Fix 2019,,[130],,2.083677989640037,,,,[171952],"[314612, 314613]","[36258, 51528, 65827, 79134, 87507, 95776, 101573, 106992, 109462, 117665]",bus-fix-2019,,,,"Have you ever wondered what it's like to be a mechanic? What if you could repair buses? 
Accept the repair buses oreders. 
Diagnose, replace or fix damaged part of buses. 
Disassemble for example engine parts, chassis parts, tires. 
Buy new parts. 
 
In a game you will find: 
- 6 different buses. 
- More than 50 part that yoou can replace by yourself. 
- Different defects to remove. 
- An unlimited number of orders for execution. 
- Richly equipped workshop.","[268435465, 268435469, 536872511, 536894772]",,,,,1562544000,https://www.igdb.com/games/bus-fix-2019,,,[28483],[110800]
14,[23761],,,,"[6098, 6099, 6100]",,0,,70512.0,1545523200,,,,1550534400.0,,,,[1],"[12, 31]",,113461,"[72420, 72421]","[72, 1980]",,Forever Forest,,[130],[3],1.0,,,,[165439],"[269367, 269368, 269369, 269370, 269371]","[10032, 78632, 80916, 81249, 96217, 101608, 102584, 105049, 106987, 119171]",forever-forest,,,,"Forever Forest is a unique blend of exploration, survival, action and role-playing, set in a beautiful, organic environment. You slip into the role of a friendly forest creature, who is drawn into a great adventure after discovering a magical mask. You set forth on a journey to carry the last ray of light across stony deserts, treacherous swamps and poisonous lakes to illuminate a world covered in darkness. Use your wits and skill to sustain yourself on colorful fruits and critters, hunt and be hunted by powerful beasts and permanently evolve by absorbing the abilities of your enemies into your mask.","[1, 21, 268435468, 268435487, 536870984, 536872892]","[1, 21]",,,,1550793600,https://www.igdb.com/games/forever-forest,,,[24000],"[95668, 95669]"
15,,,,,,,0,,61662.0,1517356800,,,,1527638400.0,,,,,,,85161,,,,FUZE4 Nintendo Switch,,[130],,1.689643864366761,,,,[166899],"[295964, 295965, 295966, 295967, 295968]",,fuze4-nintendo-switch,,,,Easy to learn text based programming language,,,,,,1554336000,https://www.igdb.com/games/fuze4-nintendo-switch,,,[25780],[103467]
16,[13833],84.0,1.0,,,,0,,84925.0,1500854400,,,,1501113600.0,,,,"[1, 3]","[13, 15, 32]",,51998,[52478],[1001],,Overcooked: Special Edition,,[130],[3],1.44578216048949,9.0,76.0082507222192,5.0,[100837],"[114159, 114160, 114161, 114162, 114163, 168046, 168047, 168048, 168049, 168050, 168051]","[25311, 31515, 35994, 37419, 51577, 55888, 65827, 76263, 78550, 109339]",overcooked-special-edition,,,,Get ready for the ultimate arcade-style couch cook-off in Overcooked: Special Edition for Nintendo Switch.,"[1, 27, 40, 268435469, 268435471, 268435488, 536871913]","[1, 27, 40]",,80.0041253611096,6.0,1574121600,https://www.igdb.com/games/overcooked-special-edition,18433.0,Special Edition,,
17,,,,,,,0,1748.0,68498.0,1536105600,,,,1537833600.0,,,,"[1, 3]","[12, 13, 15]",,108196,"[70259, 70260]",[340],,The Escapists: Complete Edition,,[130],[2],1.0,2.0,,,[158925],"[256475, 256476, 256477, 256478, 256479, 256480]","[25311, 26145, 36258, 55077, 65827, 79134, 87485, 103232, 109339, 112754]",the-escapists-complete-edition,,,,The Escapists: Complete Edition brings you the whole original Escapists experience including all DLC packs as well as Fhurst Peak which is exclusive to Nintendo Switch.,"[268435468, 268435469, 268435471, 536871252]",,,,,1543104000,https://www.igdb.com/games/the-escapists-complete-edition,,,[22251],
18,[22473],,,,,,0,,66260.0,1528416000,,,,1528416000.0,,,,"[1, 2, 3]","[8, 9]",,103267,"[65441, 65442]",,,Parallel,,[130],[4],1.0,,,,[153599],"[213677, 213678, 213679, 213680, 213681]","[19222, 87507, 90788, 95776, 108155, 110503, 115276, 116144, 119408, 120644]",parallel,,,,Parallel is a stylish neon puzzle platformer where you control two characters at the same time.,"[268435464, 268435465]",,,,,1538352000,https://www.igdb.com/games/parallel,,,,[91187]
19,,,,,,,0,,,1517270400,,,,1546214400.0,,,,,,,84806,,,,Project Fist,,[130],,1.0,,,,[142483],,,project-fist,,,,,,,,,,1575849600,https://www.igdb.com/games/project-fist,,,,
20,[26025],,,,,,0,2793.0,82811.0,1567555200,,,,1575331200.0,,,,[1],[13],,122237,"[85672, 85673]",,,Farming Simulator 20,,[130],,1.0,,,,[177562],"[336144, 336145, 336146, 336147]","[36258, 87485, 101573, 105264, 106008, 109462, 112754, 114766, 117665, 119119]",farming-simulator-20,,,,"In Farming Simulator 20, take control of vehicles and machines faithfully recreated from leading brands in the industry. For the first time on Nintendo Switch, this includes John Deere, the largest agriculture machinery company in the world. Drive other famous farming brands such as Case IH, New Holland, Challenger, Fendt, Valtra, Krone, Deutz-Fahr and many more.",[268435469],,,,,1571875200,https://www.igdb.com/games/farming-simulator-20,,,[30577],"[121298, 121299, 121300, 121301, 121302]"
21,,,,,,,0,,,1517356800,,,,1514678400.0,,,,,,,85329,[61328],,,Panzer Party,,[130],,1.0,,,,[142064],,,panzer-party,,,,,,,,,,1575849600,https://www.igdb.com/games/panzer-party,,,,
22,,,,,,,0,2953.0,29213.0,1502150400,,,"[101768, 1593185]",1505347200.0,,,,[1],"[10, 14]",,54567,[52849],"[623, 823, 4157]",,Champion Jockey: Special,,[130],,1.445775230718781,,,,[108699],,"[27378, 27553, 44178, 55192, 80382, 113105, 116353, 118871, 120126, 120268]",champion-jockey-special,,,,A horse racing simulator,"[268435466, 268435470, 536871535, 536871735, 536875069]",,,,,1516579200,https://www.igdb.com/games/champion-jockey-special,,,[15278],[53980]
23,[24291],,,,,,0,,,1552262400,,,,1552348800.0,,,,[1],,,116126,[75486],"[918, 2760]",,Little Shopping,,[130],,1.0,,,,[166232],"[291571, 291572, 291573, 291574, 291575]","[10675, 14192, 14195, 14225, 15605, 27792, 59978, 99320, 100843, 100953]",little-shopping,,,,Play and learn how to count - simple game for toddlers and preschoolers! This is a simple counting game for children. Learning to count has never been so easy and fun!,"[34, 536871830, 536873672]",[34],,,,1557014400,https://www.igdb.com/games/little-shopping,,,,[106819]
24,"[23356, 23357]",72.9090909090909,12.0,,"[5408, 5409, 5410]",,0,453.0,76375.0,1528761600,,,"[1457788, 1458774, 1708335]",1538697600.0,24.0,[24],,"[1, 2, 3]","[8, 9, 24]",3.0,103339,"[70164, 70932]","[101, 1024]",[9024],Super Mario Party,,[130],[3],5.012039444405405,85.0,66.6209893435461,45.0,[153856],"[214072, 251332, 251333, 251334, 251335, 251336, 251337, 251338, 251339, 251340]","[19241, 20342, 24426, 28070, 55190, 87017, 89074, 103341, 110503, 116681]",super-mario-party,,,,"Inspired by the original Mario Party board game play, the beloved series is coming to Nintendo Switch with new mini-games and play styles that make use of the Joy-Con controllers. Super Mario Party includes features like character-exclusive Dice Blocks that add depth to players’ strategy. Up to four players take turns rolling the dice, and individually race across the board searching for Stars. In Toad’s Rec Room, new gameplay links two games and two Nintendo Switch systems for side-by-side fun. The game launched on Oct. 5, 2018.","[27, 35, 40, 268435464, 268435465, 268435480, 536871013, 536871936]","[27, 35, 40]",,69.7650401263185,57.0,1582416000,https://www.igdb.com/games/super-mario-party,,,[20649],"[80180, 80591, 91687]"
25,[22469],,,,,,0,,66292.0,1517356800,,,[1284549],1528934400.0,,,,"[1, 2, 3]","[14, 33]",,85382,[65455],"[26, 27]",[8761],Soccer Slammers,,[130],[3],1.0,,,,[153594],[213743],"[701, 15851, 18681, 57738, 100359, 103377, 106814, 114287, 119422, 120268]",soccer-slammers,,,,Fast-paced 2-on-2 Arcade Soccer for 1 to 4 Players!,"[1, 268435470, 268435489, 536870938, 536870939]",[1],,,,1529107200,https://www.igdb.com/games/soccer-slammers,,,[20455],[80039]
26,[25391],78.0,2.0,,,,3,430.0,79352.0,1524960000,,,,1566172800.0,,,,,"[31, 33]",,99733,"[83167, 83168]",,,Hotline Miami Collection,,[130],,6.12597015236142,14.0,93.0,0.0,[174400],"[322022, 322023, 322024, 322025, 322026, 322027]","[37419, 78632, 87622, 96217, 103292, 103295, 105049, 106987, 111130, 120268]",hotline-miami-collection,,,,The Hotline Miami Collection includes both the first Hotline Miami and Hotline Miami 2: Wrong Number.,"[1, 268435487, 268435489]",[1],,85.5,2.0,1567123200,https://www.igdb.com/games/hotline-miami-collection,,,[29529],"[113646, 113647]"
27,[23348],,,,,,0,,68821.0,1441670400,,,"[110849, 1612518, 1694170]",1539820800.0,,,,"[1, 2, 3]","[5, 31, 32, 33]",1.0,12502,[69259],"[117, 595, 1235, 4134, 4281, 5379]",,Zarvot,,[130],[3],1.0,4.0,,,[159731],"[244049, 244050, 244051, 244052, 244053]","[19150, 23733, 26226, 36198, 55173, 55190, 56033, 105049, 105269, 111130]",zarvot,,,,"Zarvot is a voxelike multiplayer arena. Use finely tuned and balanced weapons in the ultra-competitive mode, or duke it out on party-centric EXPLOSIONS mode with powerups, custom maps, and a variety of game types! Fast paced action, a wide variety of powerups, and custom level support! There are a lot of features in this baby. With skill-based gameplay and decisive victories, there'll be no doubt over who is the best at Zarvot. Beat your friends up and explode their cubes.","[1, 40, 268435461, 268435487, 268435488, 268435489, 536871029, 536871507, 536872147, 536875046, 536875193, 536876291]","[1, 40]",,,,1547164800,https://www.igdb.com/games/zarvot,,,"[21906, 21907]","[91802, 91803, 91804, 97405]"
28,,,,[22988],[5329],,0,5495.0,69328.0,1536364800,,,[1614943],1542758400.0,1317.0,[1317],,"[1, 3]",[13],,109261,[69535],"[997, 4141]",,Nari Kids Park: HUGtto! PreCure,,[130],"[2, 4]",1.0,,,,[158132],"[244431, 244432, 244433, 244434, 244435]","[25877, 36258, 79134, 99118, 101573, 102873, 114150, 118711, 119156, 120300]",nari-kids-park-hugtto-precure,,,,"HUGtto! PreCure, which broadcasts on ABC TV and TV Asahi every Sunday, joins the Nari Kids Park series. Transform into Cure Yell and the others and have fun!","[17, 35, 268435469, 536871909, 536875053]","[17, 35]",,,,1553472000,https://www.igdb.com/games/nari-kids-park-hugtto-precure,,,,"[88318, 93340]"
29,[22402],75.0,1.0,,,,0,,66045.0,1518480000,,,,1518652800.0,,,,,,,86679,[65170],,[8747],Aqua Kitty UDX,,[130],,1.0,,,,[153161],[214979],,aqua-kitty-udx,,,,,,,,75.0,1.0,1530489600,https://www.igdb.com/games/aqua-kitty-udx,,,,
30,,,,[24398],,,0,,73839.0,1556236800,,,,1580342400.0,780.0,[780],,[1],"[13, 32]",,117744,[78065],[1011],,Touhou Gensou Majhong,,[130],[3],1.891564320978979,1.0,,,[185483],,"[28277, 37419, 51577, 55888, 65827, 76263, 87975, 96217, 109339, 113360]",touhou-gensou-majhong,,,,,"[17, 268435469, 268435488, 536871923]",[17],,,,1579046400,https://www.igdb.com/games/touhou-gensou-majhong,,,,"[105205, 105206]"
31,[21285],,,,,[105048],0,,64262.0,1521590400,,,,1521676800.0,,,,"[1, 2]","[5, 33]",,95051,[63611],,,SOL DIVIDE -SWORD OF DARKNESS- for Nintendo Switch,,[130],[4],1.0,,,,[149483],[203714],"[27270, 54775, 55038, 87728, 90099, 103281, 103282, 103298, 103301, 106987]",sol-divide-sword-of-darkness-for-nintendo-switch,,,,"Vorg heard a rumour that the army of Satan was searching for treasures called Seirei stones, which led him to think that the time for revenge has come.","[1, 17, 268435461, 268435489]","[1, 17]",,,,1522108800,https://www.igdb.com/games/sol-divide-sword-of-darkness-for-nintendo-switch,35026.0,for Nintendo Switch,,
32,,,,,,,0,,62697.0,1517702400,,,,1517443200.0,,,,,,,86377,[62077],,,Shiftlings - Enhanced Edition,,[130],,1.0,,,,[145963],"[181765, 181766, 181767, 181768, 181769, 181770]",,shiftlings-enhanced-edition,,,,A couch co-op where size matters!,,,,,,1541548800,https://www.igdb.com/games/shiftlings-enhanced-edition,9215.0,Shiftlings - Enhanced Edition,,
33,,,,,,,0,,62692.0,1517702400,,,,1546214400.0,,,,,,,86366,[62069],,,No More Heroes (Tentative Title),,[130],,1.0,,,,[145934],,,no-more-heroes-tentative-title,,,,,,,,,,1520380800,https://www.igdb.com/games/no-more-heroes-tentative-title,,,,
34,[25836],,,,[8006],,0,,81824.0,1568505600,,,"[1777922, 1778252]",1571702400.0,,,,"[1, 2]",[10],,122442,"[84438, 84439]",,,Street Outlaws: The List,,[130],,1.0,1.0,,,[175747],"[334347, 334348, 334349, 334350, 334351, 334352, 334353, 334354]","[96476, 100800, 103301, 103302, 105011, 109292, 113895, 118871, 120268, 120487]",street-outlaws-the-list,,,,"Strap-in and put the pedal to the floor cause there’s only enough room for 10! Build, Customize, Race and Earn your way on to the “List"", competition is ruthless and everyone is fighting for the respect that comes with the top spot. Your goal? Earn a spot on ""The List"".","[1, 268435466]",[1],,,,1574121600,https://www.igdb.com/games/street-outlaws-the-list,,,,"[118103, 124561]"
35,"[26408, 26409]",0.0,2.0,"[26201, 26202, 27205]",,,0,882.0,85848.0,1569974400,,,[1857521],1577404800.0,,,,"[1, 2]",[9],,122705,[84978],,,Dr Kawashima’s Brain Training for Nintendo Switch,,[130],"[4, 5]",1.0,17.0,,,"[176913, 180366, 180367]","[336595, 336596, 336597, 336598, 336599, 336600]","[10603, 19222, 41349, 86974, 87507, 88511, 89132, 90788, 95776, 106992]",dr-kawashimas-brain-training-for-nintendo-switch,,,,"Get ready to challenge your brain in a variety of ways in Dr Kawashima’s Brain Training for Nintendo Switch! Enjoy new exercises, some of them making use of the right Joy-Con’s IR Motion Camera*, or tap and train with classic exercises from past Brain Training games that you can play using a stylus (included with the packaged version from retail stores) or your finger. It’s in your hands!","[34, 268435465]",[34],,0.0,2.0,1578009600,https://www.igdb.com/games/dr-kawashimas-brain-training-for-nintendo-switch,,,[30573],[125061]
36,[21300],,,,,,0,,64292.0,1521763200,,,[579433],1522368000.0,,,,[1],[13],,95516,[63666],[1103],,Farm Expert 2018 for Nintendo Switch,,[130],,1.445775230718781,,,,[149597],"[203841, 203842]",,farm-expert-2018-for-nintendo-switch,,,,,,[32],,,,1521763200,https://www.igdb.com/games/farm-expert-2018-for-nintendo-switch,,for Nintendo Switch,,
37,,70.0,3.0,,,,0,,70921.0,1527033600,,,,1544486400.0,,,,,,,102126,[73218],,,Everspace: Stellar Edition,,[130],,1.650206793784022,3.0,83.0,0.0,[162090],"[277500, 277501, 277502, 277503, 277504, 277505]",,everspace-stellar-edition,,,,"Everspace combines fast-paced combat with roguelike elements, great visuals and a captivating story.",,,,76.5,3.0,1547856000,https://www.igdb.com/games/everspace-stellar-edition,14172.0,Stellar Edition,[20093],
38,[22028],,,,,,0,,65541.0,1513209600,,,,1527552000.0,,,,[1],"[12, 24]",,78128,"[58996, 58997]",,,Fallen Legion: Rise to Glory,,[130],[4],1.0,4.0,77.0,0.0,"[131247, 146911, 146912]","[184347, 184348, 184349, 184350, 184351, 184352]","[13196, 28010, 54775, 81249, 96217, 101608, 103168, 103282, 103303, 106987]",fallen-legion-rise-to-glory,,,,"""Return to the battlefield of Fenumia, where a besieged nation stands on the brink of war. See the conflict through the lenses of Princess Cecille and Legatus Laendur, one who would restore her kingdom to its former glory and one who would see a new nation rise in its place. Combining both Fallen Legion: Flames of Rebellion and Fallen Legion: Sins of an Empire for the first time on one console, Fallen Legion: Rise to Glory includes all new art, Exemplars, monsters, bosses and challenges not found in the original releases. See the story from all sides anywhere you go in Fallen Legion: Rise to Glory, coming 2018 for Nintendo Switch!""","[1, 17, 268435468, 268435480]","[1, 17]",,77.0,0.0,1525737600,https://www.igdb.com/games/fallen-legion-rise-to-glory,,,"[17169, 18145]","[64124, 71431, 71432, 71433]"
39,,,,,,,0,,59584.0,1516406400,,,"[208307, 464384, 1191405]",1513900800.0,,,,"[1, 2]","[15, 32]",,82788,"[75138, 75139]",[3782],,Tactical Mind,,[130],,1.445775230718781,,,,[173885],"[233903, 233904, 233905, 233906, 233907, 233908, 233909, 233910, 233911]","[13200, 13660, 17130, 24620, 25311, 29173, 34823, 36269, 36553, 55590]",tactical-mind,,,,Tactical Mind is an upcoming strategy video game inspired by Chess. It is being developed as a joint venture by Drageus Games S.A. and Qubic Games S.A.,"[18, 268435471, 268435488, 536874694]",[18],,,,1565222400,https://www.igdb.com/games/tactical-mind,,,,[85107]
